"title","author","subject","abstract","date"
"packing the largest trees in the tree packing conjecture","barnabás janzer, richard montgomery","combinatorics","the famous tree packing conjecture of gyárfás from 1976 says that any sequence of trees $t_1,\ldots,t_n$ such that $|t_i|=i$ for each $i\in [n]$ packs into the complete $n$-vertex graph $k_n$. packing even just the largest trees in such a sequence has proven difficult, with bollobás drawing attention to this in 1995 by conjecturing that, for each $k$, if $n$ is sufficiently large then the largest $k$ trees in any such sequence can be packed into $k_n$. this has only been shown for $k\leq 5$, by żak, despite many partial results and much related work on the full tree packing conjecture. we prove bollobás's conjecture, by showing that, moreover, a linear number of the largest trees can be packed in the tree packing conjecture.",2024-03-15
"on the frame property of hermite functions and analytic extensions of their frame sets","markus faulhuber, irina shafkulovska, ilya zlotnikov","functional analysis","we study gabor frames with hermite window functions. gröchenig and lyubarskii provided a sufficient density condition for their frame sets, which leads to what we call the ``safety region"". for rectangular lattices and hermite windows of order 4 and higher, we enlarge this safety region by providing new points on the boundary of this region. for this purpose, we employ the janssen representation of the frame operator to compare its distance to the identity in the operator norm. the calculations lead to estimates on series involving laguerre polynomials with gaussian weight functions.",2024-03-15
"a lozenge triangulation of the plane with integers","raghavendra n. bhat, cristian cobeli, alexandru zaharescu","number theory","we introduce and study a three-folded linear operator depending on three parameters that has associated a triangular number tilling of the plane. as a result the set of all triples of integers is decomposed in classes of equivalence organized in four towers of two-dimensional triangulations. we provide the full characterization of the represented integers belonging to each network as families of certain quadratic forms. we note that one of the towers is generated by a germ that produces a covering of the plane with {löschian} numbers.",2024-03-15
"data-driven distributionally robust safety verification using barrier certificates and conditional mean embeddings","oliver schön, zhengang zhong, sadegh soudjani","systems and control","algorithmic verification of realistic systems to satisfy safety and other temporal requirements has suffered from poor scalability of the employed formal approaches. to design systems with rigorous guarantees, many approaches still rely on exact models of the underlying systems. since this assumption can rarely be met in practice, models have to be inferred from measurement data or are bypassed completely. whilst former usually requires the model structure to be known a-priori and immense amounts of data to be available, latter gives rise to a plethora of restrictive mathematical assumptions about the unknown dynamics. in a pursuit of developing scalable formal verification algorithms without shifting the problem to unrealistic assumptions, we employ the concept of barrier certificates, which can guarantee safety of the system, and learn the certificate directly from a compact set of system trajectories. we use conditional mean embeddings to embed data from the system into a reproducing kernel hilbert space (rkhs) and construct an rkhs ambiguity set that can be inflated to robustify the result w.r.t. a set of plausible transition kernels. we show how to solve the resulting program efficiently using sum-of-squares optimization and a gaussian process envelope. our approach lifts the need for restrictive assumptions on the system dynamics and uncertainty, and suggests an improvement in the sample complexity of verifying the safety of a system on a tested case study compared to a state-of-the-art approach.",2024-03-15
"the inhomogeneous $t$-pushtasep and macdonald polynomials","arvind ayyer, james martin, lauren williams","combinatorics","we study a multispecies $t$-pushtasep system on a finite ring of $n$ sites with site-dependent rates $x_1,\dots,x_n$. let $\lambda=(\lambda_1,\dots,\lambda_n)$ be a partition whose parts represent the species of the $n$ particles on the ring. we show that for each composition $\eta$ obtained by permuting the parts of $\lambda$, the stationary probability of being in state $\eta$ is proportional to the asep polynomial $f_{\eta}(x_1,\dots,x_n; q,t)$ at $q=1$; the normalizing constant (or partition function) is the macdonald polynomial $p_{\lambda}(x_1,\dots,x_n;q,t)$ at $q=1$. our approach involves new relations between the families of asep polynomials and of non-symmetric macdonald polynomials at $q=1$. we also use multiline diagrams, showing that a single jump of the pushtasep system is closely related to the operation of moving from one line to the next in a multiline diagram. we derive symmetry properties for the system under permutation of its jump rates, as well as a formula for the current of a single-species system.",2024-03-15
"central limit theorems for the derivatives of self-intersection local time for $d$-dimensional brownian motion","xiaoyan xu, xianye yu","probability","let $\{b_t,t\geq0\}$ be a d-dimensional brownian motion. we prove that the approximation of the higher derivative of renormalized self-intersection local time $$ \int_{0}^{1}\int_{0}^{s}\left(p^{(|k|)}_{d,\epsilon}(b_{s}-b_{r})-e[p^{(|k|)}_{d,\epsilon}(b_{s}-b_{r})]\right)drds, $$ where the multiindex $k=(k_{1},\cdots,k_{d})$, $ p_{d,\epsilon}^{(|k|)}(x_1,x_2,\cdots,x_d):=\partial^{k_1}_{x_1}\partial^{k_2}_{x_2}$ $\cdots\partial^{k_d}_{x_d}p_{d,\epsilon}(x_1,x_2,\cdots,x_d)$ and $p_{d,\epsilon}(x)=\frac{1}{(2\pi\epsilon)^{d/2}}e^{-\frac{|x|^{2}}{2\epsilon}}, x\in\mathbb{r}^d$, satisfies the central limit theorems when renormalized by $(\log\frac{1}{\epsilon})^{-1}$ in the case $d=2$, $|k|=1$ and by $\epsilon^{\frac{d+|k|-3}{2}}$ in the case $d\geq 3$, $|k|\geq 1$, which gives a complete answer to the conjecture of markowsky [in séminaire de probabilitiés \uppercase\expandafter{\romannumeral10\romannumeral50\romannumeral4} (2012) 141-148 springer]. we as well prove that its m-th wiener chaotic component satisfies the central limit theorems when renormalized by a multiplicative factor in different cases.",2024-03-15
"can a gpt4-powered ai agent be a good enough performance attribution analyst?","bruno de melo","computational finance","performance attribution analysis, defined as the process of explaining the drivers of the excess performance of an investment portfolio against a benchmark, stands as a significant aspect of portfolio management and plays a crucial role in the investment decision-making process, particularly within the fund management industry. rooted in a solid financial and mathematical framework, the importance and methodologies of this analytical technique are extensively documented across numerous academic research papers and books. the integration of large language models (llms) and ai agents marks a groundbreaking development in this field. these agents are designed to automate and enhance the performance attribution analysis by accurately calculating and analyzing portfolio performances against benchmarks. in this study, we introduce the application of an ai agent for a variety of essential performance attribution tasks, including the analysis of performance drivers and utilizing llms as calculation engine for multi-level attribution analysis and question-answer (qa) exercises. leveraging advanced prompt engineering techniques such as chain-of-thought (cot) and plan and solve (ps), and employing a standard agent framework from langchain, the research achieves promising results: it achieves accuracy rates exceeding 93% in analyzing performance drivers, attains 100% in multi-level attribution calculations, and surpasses 84% accuracy in qa exercises that simulate official examination standards. these findings affirm the impactful role of ai agents, prompt engineering and evaluation in advancing portfolio management processes, highlighting a significant advancement in the practical application and evaluation of ai technologies within the domain.",2024-03-15
"lower bounds for kernel density estimation on symmetric spaces","dena marie asta","statistics theory","we prove that kernel density estimation on symmetric spaces of non-compact type, whose l2-risk was bounded above in previous work (asta,2021), in fact achieves a minimax rate of convergence. with this result, the story for kernel density estimation on all symmetric spaces is completed. the idea in adapting the proof for euclidean space is to suitably abstract vector space operations on euclidean space to both actions of symmetric groups and reparametrizations of helgason-fourier transforms and to use the fact that the exponential map for symmetric spaces of non-compact type defines a diffeomorphism.",2024-03-15
"complete equational theories for classical and quantum gaussian relations","robert i. booth, titouan carette, cole comfort","logic in computer science","we give generators and relations for the hypergraph props of gaussian relations and positive affine lagrangian relations. the former extends gaussian probabilistic processes by completely-uninformative priors, and the latter extends gaussian quantum mechanics with infinitely-squeezed states. these presentations are given by adding a generator to the presentation of real affine relations and of real affine lagrangian relations which freely codiscards effects, as well as certain rotations. the presentation of positive affine lagrangian relations provides a rigorous justification for many common yet informal calculations in the quantum physics literature involving infinite-squeezing. our presentation naturally extends menicucci et al.'s graph-theoretic representation of gaussian quantum states with a representation for gaussian transformations. we interpret the lov-calculus, a diagrammatic calculus for reasoning about passive linear-optical quantum circuits in our presentation of positive affine lagrangian relations. moreover, we show how our presentation allows for additional optical operations such as active squeezing.",2024-03-15
"new functional inequalities with applications to the arctan-fast diffusion equation","rafael granero-belinchón, martina magliocca, alejandro ortega","analysis of pdes","in this paper, we prove a couple of new nonlinear functional inequalities of sobolev type akin to the logarithmic sobolev inequality. in particular, one of the inequalities reads $$ \int_{\mathbb{s}^1}\arctan\left(\frac{\partial_x u}{u}\right)\partial_xu \,dx\geq \arctan\left(\|u(t)\|_{\dot{w}^{1,1}(\mathbb{s}^1)}\right)\|u(t)\|_{\dot{w}^{1,1}(\mathbb{s}^1)}. $$ then, these inequalities are used in the study of the nonlinear \emph{arctan}-fast diffusion equation $$ \partial_t u-\partial_x\arctan\left(\frac{\partial_x u}{u}\right)=0. $$ for this highly nonlinear pde we establish a number of well-posedness results and qualitative properties.",2024-03-15
