"Movie Title","Review Title","Reviewer","Review","Date","Ratings","...7","prod_name","title","reviewer","review","date","ratings","type_of_movies"
"the super mario bros. movie (2023)","illumination's best since despicable me 1.","benjaminskylerhill","video games have long been plagued by subpar adaptions of their materials, but on their second attempt, the mario bros save the day. being on par with the likes of sonic and detective pikachu, this film hits all the fun beats you would want from a mario film. including plenty of fun moments for fans of the expansive franchise, this also stays completely understandable and entertaining for anyone who checks it out. with some interesting voice acting choices, no one took you out of the film and everyone felt like great choices for this vibrant world. wishing that it stood out more or took on more intriguing choices, i was still walking away happy and hopeful for the future of this franchise and the possibilities to come.","5 september 2023","8/10",NA,NA,NA,NA,NA,NA,NA,NA
"the super mario bros. movie (2023)","solid example of game to screen adaptation","ltufano23","mario (chris pratt) and luigi (charlie day) are struggling brooklyn brother plumbers. when the city's sewer goes haywire, mario sees an opportunity for heroic fame. instead, they get sucked into an alternate world. the brothers get separated. mario joins princess peach (anya taylor-joy) to recruit the kong army in their fight against the evil turtle bowser (jack black). luigi gets captured.it's brightly colored. it's energetic. it's got the characters. there's the game play. the story is fairly simple. it's pretty much what i expected. i wish there is more heart to it. the brothers could have been that, but they get separated pretty quickly. i played some of the games over the years and this will probably appeal to the fans. it's got all the brightly colored chaos for the kids. it's less so for everybody else.","19 april 2023","7/10",NA,NA,NA,NA,NA,NA,NA,NA
"the super mario bros. movie (2023)","pretty much as expected","snoopystyle","i think for what this movie sets out to do, super mario bros. movie pretty much ticks the boxes of an entertaining, reference fan-service heavy movie. a lot of the jokes are basic sure, but it's just impressive that there is some competency to a video game movie. sometimes simple and straightforward is the best way to go. not high art or anything, but it ticks off almost everything for what mario should be at least. voice acting wasn't as bad as i thought, and jack black was the highlight as expected. yeah, not gonna win any big awards but judge it for what it is, and yeah by video game movie standards it's one of the best ones easily if you ask me.6.5/10.","5 april 2023","6/10",NA,NA,NA,NA,NA,NA,NA,NA
"the super mario bros. movie (2023)","everyone is so fixated on rotten tomatoes scores, it really is a solid film.","nickryan-44535","this is a movie that feels like a love letter to all the nintendo fans out there, even if they don't necessarily play mario anymore. the film delivers a fun and enjoyable experience for viewers by faithfully adapting every aspect of the game into the movie, including the mario kart and donkey kong franchises. the movie is packed with non-stop action and fast-paced storytelling, leaving little room for some of the more significant elements that fans might have wanted to see. it may not be able to fulfill every fan's wishes, but it's understandable and sets up for a sequel, as there is a post-credits scene.but for general audiences who are not familiar with mario enough, this might be a movie that is difficult to understand. there may be questions like why does it have to be like this? why do it this way? why is the world so strange? this is because the story hardly explains in detail for us to know how the world is. even though the story is simple and has nothing much. but if you don't think too much, it's an easy and enjoyable movie to watch, with the lovable characters in the style of the works from the studio that made despicable me.","5 april 2023","8/10",NA,NA,NA,NA,NA,NA,NA,NA
"the super mario bros. movie (2023)","an absolute blast!","justinvitelli","sometimes you come across a movie that takes no risks. it's light on story, avoids character development, and focuses on getting to the next scene as easily as possible. mario bros. doesn't have any inherent plot holes or issues, but it tends to leave you in a state of just being a viewer rather than participating in the movie. in the end, it's not bad per se, but comes off as flat and lifeless.the positives are all agreed upon by anyone who likes it, because the positives stand out by not being able to be compared against anything else. people have fun with the action. they love the easter eggs. and the composed music is good. the action is done well, but without much dramatic weight, only carry the movie so far. easter eggs don't nor should have any bearing on how good the ovoid is. the music was well incorporated, minus the pop songs that truly don't work.it's not good enough to play things easy, and rely on fans to spot visual easter eggs, to call the movie good. it's average at best mostly because it was watchable and didn't have any outright flaws. it just didn't take chances that could've ended up becoming flaws. even if you had a good time watching it, there's not enough value to see it again. if you're a fan, check it out. if not, you won't miss a thing by skipping it.","5 april 2023","10/10",NA,NA,NA,NA,NA,NA,NA,NA
"the super mario bros. movie (2023)","critics are being too harsh for what it is","adrenalindragon","took my kids for a special sky screening and boy were we excited! at first i was rather skeptical thinking this film won't do any justice to the games. however, i was wrong! this film met our expectation and beyond. i think i enjoyed this film more than my kids. from the moment the film starts it is enjoyable. good sense of humour and a lot of nice scenes. a lot of laughable moments. apart from the film being too short it still met my expectations. as a 39 year old who played all the mario games since childhood, this bought back a lot of fond memories of sleepless nights of playing the mario games. a must watch film whether you have kids or not.","5 april 2023","7/10",NA,NA,NA,NA,NA,NA,NA,NA
"the super mario bros. movie (2023)","the message of love is sent directly to the fanbase, not to the general audience.","folk_egm","if you only watch the movie with the intention of having fun, you will certainly have a good experience with mario. however the plot is quite bland and the movie runs at a very fast pace between one scene and another, hampering the progress of the story.also, if you haven't played the mario games, you'll fail immeasurably to pick up the game references that are scattered throughout the movie, and there are many of them. for anyone who's a mario fan, this movie is literally fan service and it's no wonder why they're giving it a 10.for me, this movie doesn't lived up to the hype, but for a mario fan, it certainly did.","6 april 2023","7/10",NA,NA,NA,NA,NA,NA,NA,NA
"the super mario bros. movie (2023)","chris pratt was awesome as mario and jack black as bowser was remarkable!!!!!!","gabethedinosaur","some people are taking this movie too seriously. this movie is just supposed to be fun and colorful and not to be taken like a tarantino movie or something. of course the plot could be improved a bit here and there but it's actually a really fun and entertaining movie when you just enjoy the ride. if you're a big fan of mario you will absolutely love this movie 100%. i felt like a little kid again when i saw all the characters and easter eggs in every scene. the animation was insanely well done and i believe they could've made the movie a bit longer to expand on the world a bit more and get to know each character more but that's about it.","10 april 2023","10/10",NA,NA,NA,NA,NA,NA,NA,NA
"the super mario bros. movie (2023)","just average.","movies_are_life_","as a purely fluff piece - it's fun, bright spirited, and enjoyable for families. a movie that has all of the elements you'd want represented from super mario bros video games, and as a bonus, it also showcases mario cart and donkey kong junior. the animation is strong, the worlds are exactly like the video games and truly fun moments for kids. the runtime is great and the movie moves along without pause.and i expect better, higher quality movie making.the voice acting in this movie is so lazy. chris pratt is forgettable-anyone could have done better voicing such a beloved character. princess peach is the same - voice acting is boring and fairly emotionless. the worst voice acting belongs to seth's terrible donkey kong junior - not a single attempt to make an actual character voice, just seth's normal voice slapped on donkey kong. toad's voice acting is also meatless and without any real jokes.the script is mostly empty and there is little to no attempt at character motivation, organic character decision making - for example, why princess peach tells mario he can come with her to save her kingdom. almost every opportunity to make a joke is skipped. none of the characters have stated goals aside from king koppa.and saddest of all to me, there is no attempt to create backstory or give context to these beloved worlds and characters.","5 april 2023","5/10",NA,NA,NA,NA,NA,NA,NA,NA
"the super mario bros. movie (2023)","brilliant animation and portrayal of the super mario bros!","mj-80986","first of all: this is a movie for kids, it's not for grown ups, don't be a 30-something or 40-something years old and expect to see the best movie of your lifetime. it's not gonna happen, it's a kids movie.when i was a kid i saw the old hopkins-leguizamo movie... omg, it was horrible. i get it, we didn't have cgi back then, but an animated movie like this one would have been amazing. waaaay better than that... garbage of a film.this new one explores all the common elements of the franchise, beautifully crafted world with attention to details. my 7 year old girl loved it. i was kinda bored, but she loved it, this rating is for her, that's what's important, it's a movie for kids, they should rate it.there are a lot of man-childs on the internet criticizing it. don't listen to them. if you have a kid who loves mario just take them, no doubt about it. if you're a nostalgic grown up, you're not going to have a bad time, but it's not what you expect, there are like 1 or 2 ""grown up jokes"", that's it, it's not like those disney movies that have a lot of hints for grown ups, this one doesn't, it's a kids movie as it should be.i get that grown ups need to be entertained, but it shouldn't be the rule, the most important thing is that kids love it.","8 april 2023","10/10",NA,NA,NA,NA,NA,NA,NA,NA
