"","title","author","subject","abstract","meta"
"1","Packing the largest trees in the tree packing conjecture","Barnabás Janzer, Richard Montgomery","Combinatorics (math.CO)","The famous tree packing conjecture of Gyárfás from 1976 says that any sequence of trees $T_1,\ldots,T_n$ such that $|T_i|=i$ for each $i\in [n]$ packs into the complete $n$-vertex graph $K_n$. Packing even just the largest trees in such a sequence has proven difficult, with Bollobás drawing attention to this in 1995 by conjecturing that, for each $k$, if $n$ is sufficiently large then the largest $k$ trees in any such sequence can be packed into $K_n$. This has only been shown for $k\leq 5$, by Żak, despite many partial results and much related work on the full tree packing conjecture. We prove Bollobás's conjecture, by showing that, moreover, a linear number of the largest trees can be packed in the tree packing conjecture.","Fri, 15 Mar 2024 17:55:03 UTC (51 KB)"
"2","On the frame property of Hermite functions and analytic extensions of their frame sets","Markus Faulhuber, Irina Shafkulovska, Ilya Zlotnikov","Functional Analysis (math.FA)","We study Gabor frames with Hermite window functions. Gröchenig and Lyubarskii provided a sufficient density condition for their frame sets, which leads to what we call the ``safety region"". For rectangular lattices and Hermite windows of order 4 and higher, we enlarge this safety region by providing new points on the boundary of this region. For this purpose, we employ the Janssen representation of the frame operator to compare its distance to the identity in the operator norm. The calculations lead to estimates on series involving Laguerre polynomials with Gaussian weight functions.","Fri, 15 Mar 2024 17:43:32 UTC (591 KB)"
"3","A lozenge triangulation of the plane with integers","Raghavendra N. Bhat, Cristian Cobeli, Alexandru Zaharescu","Number Theory (math.NT)","We introduce and study a three-folded linear operator depending on three parameters that has associated a triangular number tilling of the plane. As a result the set of all triples of integers is decomposed in classes of equivalence organized in four towers of two-dimensional triangulations. We provide the full characterization of the represented integers belonging to each network as families of certain quadratic forms. We note that one of the towers is generated by a germ that produces a covering of the plane with {Löschian} numbers.","Fri, 15 Mar 2024 17:35:02 UTC (9,051 KB)"
"4","Data-Driven Distributionally Robust Safety Verification Using Barrier Certificates and Conditional Mean Embeddings","Oliver Schön, Zhengang Zhong, Sadegh Soudjani","Systems and Control (eess.SY)","Algorithmic verification of realistic systems to satisfy safety and other temporal requirements has suffered from poor scalability of the employed formal approaches. To design systems with rigorous guarantees, many approaches still rely on exact models of the underlying systems. Since this assumption can rarely be met in practice, models have to be inferred from measurement data or are bypassed completely. Whilst former usually requires the model structure to be known a-priori and immense amounts of data to be available, latter gives rise to a plethora of restrictive mathematical assumptions about the unknown dynamics. In a pursuit of developing scalable formal verification algorithms without shifting the problem to unrealistic assumptions, we employ the concept of barrier certificates, which can guarantee safety of the system, and learn the certificate directly from a compact set of system trajectories. We use conditional mean embeddings to embed data from the system into a reproducing kernel Hilbert space (RKHS) and construct an RKHS ambiguity set that can be inflated to robustify the result w.r.t. a set of plausible transition kernels. We show how to solve the resulting program efficiently using sum-of-squares optimization and a Gaussian process envelope. Our approach lifts the need for restrictive assumptions on the system dynamics and uncertainty, and suggests an improvement in the sample complexity of verifying the safety of a system on a tested case study compared to a state-of-the-art approach.","Fri, 15 Mar 2024 17:32:02 UTC (1,008 KB)"
"5","The inhomogeneous $t$-PushTASEP and Macdonald polynomials","Arvind Ayyer, James Martin, Lauren Williams","Combinatorics (math.CO)","We study a multispecies $t$-PushTASEP system on a finite ring of $n$ sites with site-dependent rates $x_1,\dots,x_n$. Let $\lambda=(\lambda_1,\dots,\lambda_n)$ be a partition whose parts represent the species of the $n$ particles on the ring. We show that for each composition $\eta$ obtained by permuting the parts of $\lambda$, the stationary probability of being in state $\eta$ is proportional to the ASEP polynomial $F_{\eta}(x_1,\dots,x_n; q,t)$ at $q=1$; the normalizing constant (or partition function) is the Macdonald polynomial $P_{\lambda}(x_1,\dots,x_n;q,t)$ at $q=1$. Our approach involves new relations between the families of ASEP polynomials and of non-symmetric Macdonald polynomials at $q=1$. We also use multiline diagrams, showing that a single jump of the PushTASEP system is closely related to the operation of moving from one line to the next in a multiline diagram. We derive symmetry properties for the system under permutation of its jump rates, as well as a formula for the current of a single-species system.","Fri, 15 Mar 2024 17:20:39 UTC (60 KB)"
"6","Central limit theorems for the derivatives of self-intersection local time for $d$-dimensional Brownian motion","Xiaoyan Xu, Xianye Yu","Probability (math.PR)","Let $\{B_t,t\geq0\}$ be a d-dimensional Brownian motion. We prove that the approximation of the higher derivative of renormalized self-intersection local time $$ \int_{0}^{1}\int_{0}^{s}\left(p^{(|k|)}_{d,\epsilon}(B_{s}-B_{r})-E[p^{(|k|)}_{d,\epsilon}(B_{s}-B_{r})]\right)drds, $$ where the multiindex $k=(k_{1},\cdots,k_{d})$, $ p_{d,\epsilon}^{(|k|)}(x_1,x_2,\cdots,x_d):=\partial^{k_1}_{x_1}\partial^{k_2}_{x_2}$ $\cdots\partial^{k_d}_{x_d}p_{d,\epsilon}(x_1,x_2,\cdots,x_d)$ and $p_{d,\epsilon}(x)=\frac{1}{(2\pi\epsilon)^{d/2}}e^{-\frac{|x|^{2}}{2\epsilon}}, x\in\mathbb{R}^d$, satisfies the central limit theorems when renormalized by $(\log\frac{1}{\epsilon})^{-1}$ in the case $d=2$, $|k|=1$ and by $\epsilon^{\frac{d+|k|-3}{2}}$ in the case $d\geq 3$, $|k|\geq 1$, which gives a complete answer to the conjecture of Markowsky [In Séminaire de Probabilitiés \uppercase\expandafter{\romannumeral10\romannumeral50\romannumeral4} (2012) 141-148 Springer]. We as well prove that its m-th Wiener chaotic component satisfies the central limit theorems when renormalized by a multiplicative factor in different cases.","Fri, 15 Mar 2024 17:15:12 UTC (22 KB)"
"7","Can a GPT4-Powered AI Agent Be a Good Enough Performance Attribution Analyst?","Bruno de Melo","Computational Finance (q-fin.CP)","Performance attribution analysis, defined as the process of explaining the drivers of the excess performance of an investment portfolio against a benchmark, stands as a significant aspect of portfolio management and plays a crucial role in the investment decision-making process, particularly within the fund management industry. Rooted in a solid financial and mathematical framework, the importance and methodologies of this analytical technique are extensively documented across numerous academic research papers and books. The integration of large language models (LLMs) and AI agents marks a groundbreaking development in this field. These agents are designed to automate and enhance the performance attribution analysis by accurately calculating and analyzing portfolio performances against benchmarks. In this study, we introduce the application of an AI Agent for a variety of essential performance attribution tasks, including the analysis of performance drivers and utilizing LLMs as calculation engine for multi-level attribution analysis and question-answer (QA) exercises. Leveraging advanced prompt engineering techniques such as Chain-of-Thought (CoT) and Plan and Solve (PS), and employing a standard agent framework from LangChain, the research achieves promising results: it achieves accuracy rates exceeding 93% in analyzing performance drivers, attains 100% in multi-level attribution calculations, and surpasses 84% accuracy in QA exercises that simulate official examination standards. These findings affirm the impactful role of AI agents, prompt engineering and evaluation in advancing portfolio management processes, highlighting a significant advancement in the practical application and evaluation of AI technologies within the domain.","Fri, 15 Mar 2024 17:12:57 UTC (2,055 KB)"
"8","Lower Bounds for Kernel Density Estimation on Symmetric Spaces","Dena Marie Asta","Statistics Theory (math.ST)","We prove that kernel density estimation on symmetric spaces of non-compact type, whose L2-risk was bounded above in previous work (Asta,2021), in fact achieves a minimax rate of convergence. With this result, the story for kernel density estimation on all symmetric spaces is completed. The idea in adapting the proof for Euclidean space is to suitably abstract vector space operations on Euclidean space to both actions of symmetric groups and reparametrizations of Helgason-Fourier transforms and to use the fact that the exponential map for symmetric spaces of non-compact type defines a diffeomorphism.","Fri, 15 Mar 2024 17:12:33 UTC (13 KB)"
"9","Complete equational theories for classical and quantum Gaussian relations","Robert I. Booth, Titouan Carette, Cole Comfort","Logic in Computer Science (cs.LO)","We give generators and relations for the hypergraph props of Gaussian relations and positive affine Lagrangian relations. The former extends Gaussian probabilistic processes by completely-uninformative priors, and the latter extends Gaussian quantum mechanics with infinitely-squeezed states. These presentations are given by adding a generator to the presentation of real affine relations and of real affine Lagrangian relations which freely codiscards effects, as well as certain rotations. The presentation of positive affine Lagrangian relations provides a rigorous justification for many common yet informal calculations in the quantum physics literature involving infinite-squeezing. Our presentation naturally extends Menicucci et al.'s graph-theoretic representation of Gaussian quantum states with a representation for Gaussian transformations. We interpret the LOv-calculus, a diagrammatic calculus for reasoning about passive linear-optical quantum circuits in our presentation of positive affine Lagrangian relations. Moreover, we show how our presentation allows for additional optical operations such as active squeezing.","Fri, 15 Mar 2024 17:09:24 UTC (420 KB)"
"10","New functional inequalities with applications to the arctan-fast diffusion equation","Rafael Granero-Belinchón, Martina Magliocca, Alejandro Ortega","Analysis of PDEs (math.AP)","In this paper, we prove a couple of new nonlinear functional inequalities of Sobolev type akin to the logarithmic Sobolev inequality. In particular, one of the inequalities reads $$ \int_{\mathbb{S}^1}\arctan\left(\frac{\partial_x u}{u}\right)\partial_xu \,dx\geq \arctan\left(\|u(t)\|_{\dot{W}^{1,1}(\mathbb{S}^1)}\right)\|u(t)\|_{\dot{W}^{1,1}(\mathbb{S}^1)}. $$ Then, these inequalities are used in the study of the nonlinear \emph{arctan}-fast diffusion equation $$ \partial_t u-\partial_x\arctan\left(\frac{\partial_x u}{u}\right)=0. $$ For this highly nonlinear PDE we establish a number of well-posedness results and qualitative properties.","Fri, 15 Mar 2024 16:49:31 UTC (14 KB)"
