"","Dress_names","Dress_price","Dress_ratings","Dress_reviews"
"1","Women's Patterned  ","$152.29$152.29","5.0 out of 5 stars","52"
"2","Tie Waist Summer, Button-Down Shirt Dress for Women  ","$90.67$90.67","4.4 out of 5 stars","132"
"3","Women's Vest_LAS Vegas Casual Dress  ","$66.13$66.13","4.3 out of 5 stars","205"
"4","All Gender Pleated Rib Dress  ","$67.07$67.07","4.3 out of 5 stars","2"
"5","Sharagano  ","$98.65$98.65","5.0 out of 5 stars","178"
"6","Women's Dress  ","$139.85$139.85","3.7 out of 5 stars","1,119"
"7","Women Summer Tie Straps Split Midi Dress Wrap Solid Floral Print Sleeveless Ruffle Casual Vintage A Line Beach Dress  ","$110.87$110.87","4.3 out of 5 stars","2,133"
"8","Women's Summer Dress Square Neck Short Sleeves Crossover Waist Casual Party Mini Dress  ","$82.33$82.33","4.2 out of 5 stars","19"
"9","Kaftan Dress - Caftans for Women - Women's Caftans Suiting Teens to Adult Women in Regular to Plus Size  ","$100.06$100.06","4.2 out of 5 stars","700"
"10","Women's  ","$67.82$67.82","4.0 out of 5 stars","387"
"11","Women's Casual Bohemian Print Tie Long Sleeve Beach Style Long Midi Holiday Dress  ","$229.60$229.60","3.9 out of 5 stars","15"
"12","Desgual 21SWVK282000 Women's Casual Dress  ","$77.39$77.39","4.6 out of 5 stars","380"
"13","Women's 2023 Summer Casual Sleeveless Crew Neck Smocked High Waist Flowy Tiered A Line Midi Dress  ","$143.28$143.28","4.4 out of 5 stars","9,762"
"14","Women's Shift Dress  ","$91.96$91.96","4.2 out of 5 stars","174"
"15","Women's Casual Boho Floral Print V-Neck Short Sleeve Button Down High Waist Mini Dress Work Dress  ","$128.08$128.08","4.0 out of 5 stars","230"
"16","Women's Sexy Bodycon Tank Top Dress Sleeveless Backless Basic Ruched Stretchy Party Club Midi Dresses  ","$63.94$63.94","3.6 out of 5 stars","21,312"
"17","Women's Beach Swimsuit Coverups White Chiffon Bikini Swimwear Cover Up Shirt Dress  ","$101.34$101.34","4.2 out of 5 stars","502"
"18","Women's Audrey Spaghetti Strap Midi A-line 3D Floral Dress  ","$122.93$122.93","4.3 out of 5 stars","985"
"19","Women Sexy Backless Draped Maxi Dress Elegant Sleeveless Spaghetti Strap Evening Dress Long Club Party Beach Dress  ","$109.62$109.62","4.0 out of 5 stars","838"
"20","Women's Summer Maxi Dress Casual Loose Pockets Long Dress Short Sleeve Split  ",NA,"4.3 out of 5 stars","26"
"21","Women's 2 Piece Mesh Panel Beaded Neck Jacket Dress  ",NA,"3.7 out of 5 stars","52"
"22","Women's Long-Sleeved Mini Dress Checked Dress Turtleneck Knitted Dress A-line Sweater Autumn Dress Loose Dresses Pullover Dress for Winter Autumn  ",NA,"4.3 out of 5 stars","115"
"23","Women's 2023 Summer Boho Spaghetti Strap Square Neck Solid Color Ruffle A Line Beach Long Maxi Dress  ",NA,"3.3 out of 5 stars","10"
"24","Women Bohemian Embroidered Floral Dress 2023 Casual Puff Long Sleeve Maxi Dresses Boho Flowy Ruffle Fall Midi Dress  ",NA,"4.0 out of 5 stars","29"
"25","Women's Casual Day Dress  ",NA,"2.9 out of 5 stars","4,839"
